iter,version,params,episodes,mean_rewards,total_run_time,epsilon
0,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,58.51,54.21525454521179,1.916246048422115e-12
1,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,56.29,54.82518935203552,1.916246048422115e-12
2,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",64428,195.67,56.547181844711304,0.35573000000213123
3,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",70783,475.21,80.29236102104187,0.2921800000020677
4,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",61871,196.33,60.06706094741821,0.3813000000021568
5,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",81731,478.52,145.9718141555786,0.18270000000195818
6,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",60593,196.63,60.70232367515564,0.3940800000021696
7,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",82662,476.1,150.47931122779846,0.17339000000194887
8,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,24.33,4.404696226119995,9.381755897326649e-14
9,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,19.85,4.057842254638672,9.381755897326649e-14
10,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,62.49,5.744401931762695,9.381755897326649e-14
11,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,57.48,5.529368162155151,9.381755897326649e-14
12,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",9294,195.79,10.297570705413818,0.07070000000009481
13,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",9562,481.6,12.896181344985962,0.043900000000094044
14,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",8435,195.02,9.568941593170166,0.1566000000000929
15,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",10000,187.63,13.039851903915405,9.381755897326649e-14
16,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,20.82,0.4373817443847656,0.0
17,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,30.22,0.5342025756835938,0.0
