iter,version,params,episodes,mean_rewards,total_run_time,epsilon
0,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,28.77,37.051390409469604,1.916246048422115e-12
1,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,29.1,37.55779242515564,1.916246048422115e-12
2,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",73094,195.13,69.43209600448608,0.26907000000204456
3,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,212.35,156.3055031299591,1.916246048422115e-12
4,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",60281,195.3,53.08728075027466,0.3972000000021727
5,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",82422,478.75,141.69104886054993,0.17579000000195127
6,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",59212,196.74,52.35268521308899,0.4078900000021834
7,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",88125,482.46,161.49459552764893,0.1187600000019029
8,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,45.69,4.652097702026367,9.381755897326649e-14
9,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,30.65,4.3493812084198,9.381755897326649e-14
10,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,31.93,4.032167673110962,9.381755897326649e-14
11,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,58.54,4.77546501159668,9.381755897326649e-14
12,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,192.04,11.235111236572266,9.381755897326649e-14
13,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,173.76,11.092503547668457,9.381755897326649e-14
14,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",7418,195.05,7.00501561164856,0.2583000000000817
15,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",10000,200.93,12.642288446426392,9.381755897326649e-14
16,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,34.02,0.48023200035095215,0.0
17,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,20.03,0.38343119621276855,0.0
18,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,52.17,0.5808284282684326,0.0
19,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,19.0,0.38088488578796387,0.0
20,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,27.7,0.4225187301635742,0.0
21,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,25.7,0.3993818759918213,0.0
22,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,47.74,0.5443065166473389,0.0
23,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,60.5,0.6225669384002686,0.0
24,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,28.67,0.0987701416015625,0.0
25,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,16.46,0.07708978652954102,0.0
26,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,16.9,0.07934832572937012,0.0
27,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,17.86,0.08260059356689453,0.0
28,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,28.17,0.10156416893005371,0.0
29,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,33.89,0.10596060752868652,0.0
30,v0,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,25.66,0.09265661239624023,0.0
31,v1,"{'discount_factor_g': 0.9, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,24.23,0.08927798271179199,0.0
32,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,40.91,45.03051543235779,1.916246048422115e-12
33,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,33.03,41.79223322868347,1.916246048422115e-12
34,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",87093,195.75,91.10553765296936,0.12908000000190456
35,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,125.16,109.28838586807251,1.916246048422115e-12
36,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",63624,196.39,62.55743074417114,0.36377000000213927
37,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",93105,475.15,167.52317309379578,0.0689600000019222
38,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",60340,196.94,56.59734225273132,0.3966100000021721
39,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",88536,477.97,162.7571370601654,0.11465000000190449
40,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,36.65,3.7855730056762695,9.381755897326649e-14
41,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,24.09,3.592517852783203,9.381755897326649e-14
42,v0,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,62.95,5.644566059112549,9.381755897326649e-14
43,v1,"{'discount_factor_g': 0.9, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,44.84,4.768760681152344,9.381755897326649e-14
